name,Unnamed: 0,mapp,Mmax,Host_Name,ra,dec,z,subtype,Phot,Spec,Radio,X-ray,dist,buildup,decay,date,mabs,type,commentary,importance,teff_val,mass
Gaia15aeb,4458,16.39,-18.1069,ESO 297-G8,23.885908333333337,-38.614,0.017838999999999997,,26.0,,,,0.07619421937954722,20,100,2015-03-22,26.980389879968254,supernova, ,0,,
Gaia16bsg,11666,15.52,-18.9828,MCG +07-31-47,228.78133333333332,43.15011527777778,0.017887,,10.0,,,,0.07639848563595207,20,100,2016-11-05,26.104576249429652,supernova, ,0,,
SN2007as,447,15.8,-18.7039,ESO 18-G18,141.90002083333331,-79.82242777777778,0.017896000000000002,Ia,142.0,4.0,,,0.07643678510766096,19,60,2007-03-13,26.38348793719059,supernova, ,0,,
AT2014eu,29373,15.1,-19.4039,MCG +09-13-02,7.233333333333332,56.19616666666666,0.017896000000000002,IIn,1.0,,,,0.07643678510766096,21,100,2014-11-17,25.683487937190584,supernova, ,0,,
SNhunt380,36848,21.0,-13.5,NGC 7056,320.53513888888887,18.6708,0.0179,,1.0,,,,0.07645380704933387,20,100,2018-05-22,31.5830044191882,supernova, ,0,,
SN2007kj,306,16.98,-17.52,NGC 7803,0.3316666666666667,13.1085,0.0179,Ib,182.0,3.0,,,0.07645380704933387,20,70,2007-10-02,27.5630044191882,supernova, ,0,,
SN1978E,1773,14.98,-19.52,MCG +06-49-36,338.7432361111111,37.19685185185185,0.0179,Ia,51.0,,,,0.07645380704933387,19,60,1978-10-27,25.5630044191882,supernova, ,0,,
SN2018gl,36678,16.6,-17.9051,NGC 3070,149.5255,10.359345370370368,0.017906000000000002,Ia,1.0,1.0,,,0.07647933990905073,19,60,2018-01-13,27.18227934549385,supernova, ,0,,
SN2008ey,28739,18.1,-16.412,IC 262,12.926666666666666,42.830970833333346,0.01796,Ia,1.0,1.0,,,0.07670913279566441,19,60,2008-08-18,28.67576463484168,supernova, ,0,,
SN2002eh,22632,16.4,-18.0,NGC 917,6.535,31.91255833333333,0.01797,Ia,3.0,1.0,,,0.07675168647078819,19,60,2002-08-01,26.974560364797178,supernova, ,0,,
ASASSN-15od,890,15.02,-19.4952,MCG -01-07-04,35.805010416666654,-3.4827802777777777,0.017988999999999998,Ia,84.0,,,,0.07683253796868696,19,60,2015-08-10,25.592274103772464,supernova, ,0,,
AT2000gh,26852,19.2,-15.315999999999999,SDSS J133829.08+023142.0,204.62058333333331,2.528705555555556,0.017996,Candidate,1.0,,,,0.07686232520250269,20,100,2000-05-05,29.771432408014235,supernova, ,0,,
SN1994ac,26360,18.5,-15.9,MCG +00-60-52,12.472916666666665,2.7028597222222226,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,1994-09-11,29.070951586543988,supernova, ,0,,
PSN J22081243+4110503,31010,16.6,-17.9,UGC 11919,2.0516666666666667,41.180638888888886,0.018000000000000002,Ic,1.0,1.0,,,0.07687934644025167,20,70,2014-09-28,27.17095158654399,supernova, ,0,,
SN2004ad,27560,17.0,-17.5,NGC 789,0.61,32.072831944444445,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,2004-03-01,27.570951586543988,supernova, ,0,,
SN2002dz,24680,18.3,-16.2,MCG -01-01-52,3.3920833333333333,-4.903970833333334,0.018000000000000002,Ib/c,2.0,,,,0.07687934644025167,20,100,2002-07-16,28.87095158654399,supernova, ,0,,
SN2002D,24670,16.7,-17.8,NGC 594,8.240833333333335,-15.464638888888887,0.018000000000000002,II,2.0,1.0,,,0.07687934644025167,20,70,2002-01-16,27.27095158654399,supernova, ,0,,
SN2003aq,24706,18.0,-16.5,NGC 5490C,212.53018333333333,17.618147222222227,0.018000000000000002,II,2.0,,,,0.07687934644025167,20,70,2003-02-06,28.570951586543988,supernova, ,0,,
SN2002hz,24701,17.8,-16.2,UGC 12044,6.95625,38.58597083333333,0.018000000000000002,Ib,2.0,,,,0.07687934644025167,20,70,2002-11-16,28.37095158654399,supernova, ,0,,
SN2006qn,28412,17.8,-16.2,UGC 4022,11.935416666666667,48.22177916666666,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,2006-11-29,28.37095158654399,supernova, ,0,,
SN2002au,15978,17.2,-17.3,UGC 5100,8.656666666666666,5.837691666666666,0.018000000000000002,IIb,6.0,1.0,,,0.07687934644025167,20,70,2002-02-08,27.77095158654399,supernova, ,0,,
SN2003iy,27510,16.9,-17.6,NGC 6143,5.43,55.08477916666667,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,2003-10-20,27.470951586543986,supernova, ,0,,
SN2014eg,1814,15.19,-19.3,ESO 154-G10,11.28875,-54.261970833333336,0.018000000000000002,Ia-91T,50.0,1.0,,,0.07687934644025167,19,60,2014-11-16,25.76095158654399,supernova, ,0,,
SN2002bm,27236,17.0,-17.5,MCG -01-32-19,7.5704166666666675,-7.6069999999999975,0.018000000000000002,Ic,1.0,2.0,,,0.07687934644025167,20,70,2002-03-06,27.570951586543988,supernova, ,0,,
SN2003is,27506,18.0,-16.5,MCG +07-40-03,5.283333333333333,43.3265,0.018000000000000002,Ic,1.0,2.0,,,0.07687934644025167,20,70,2003-10-14,28.570951586543988,supernova, ,0,,
SN1990ah,26222,18.0,-16.5,MCG +02-02-09,6.543333333333332,13.65570625,0.018000000000000002,II,1.0,,,,0.07687934644025167,20,70,1990-12-07,28.570951586543988,supernova, ,0,,
SN1991H,26282,17.5,-17.0,Reiz3080,194.72541666666663,-9.26605625,0.018000000000000002,II,1.0,1.0,,,0.07687934644025167,20,70,1991-02-12,28.070951586543988,supernova, ,0,,
SN2003gh,27463,15.5,-19.0,NGC 2466,116.324725,-70.58963055555556,0.018000000000000002,Ia,1.0,,,,0.07687934644025167,19,60,2003-06-29,26.070951586543988,supernova, ,0,,
SN2002jn,27314,18.0,-16.5,UGC 11523,302.99968750000005,5.5210740740740745,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,2002-12-09,28.570951586543988,supernova, ,0,,
SN1952A,36896,18.6,-15.9,MCG +06-05-32,28.185847222222232,36.61812962962964,0.018000000000000002,,1.0,,,,0.07687934644025167,20,100,1952-09-14,29.17095158654399,supernova, ,0,,
