name,Unnamed: 0,ra,dec,dist,nplanets,date,mabs,mapp,type,commentary,subtype,importance,teff_val,mass
HD 204941,754,323.097961,-20.957422,2.7e-08,1,01/01/2011,,,exoplanet, ,,0,,
HD 179949,554,288.888458,-24.179351999999998,2.71e-08,1,01/01/2000,,,exoplanet, ,,0,,
HD 150706,366,247.823273,79.789772,2.7200000000000002e-08,1,01/01/2012,,,exoplanet, ,,0,,
BD-11 4672,677,278.370148,-11.636039,2.73e-08,1,01/01/2014,,,exoplanet, ,,0,,
HD 125595,2631,215.346603,-40.393947999999995,2.75e-08,1,01/01/2009,,,exoplanet, ,,0,,
HD 82943,192,143.71139499999995,-12.129546000000001,2.75e-08,2,01/01/2003,,,exoplanet, ,,0,,
HD 114386,262,197.665924,-35.054783,2.8e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 52265,1762,105.07515,-5.367162,2.81e-08,1,01/01/2000,,,exoplanet, ,,0,,
GJ 3138,3124,32.295425,-16.339592,2.85e-08,3,01/01/2017,,,exoplanet, ,,0,,
HD 70642,178,125.36723300000001,-39.70541,2.88e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 111232,259,192.21563700000002,-68.425148,2.89e-08,1,01/01/2003,,,exoplanet, ,,0,,
HD 93083,199,161.087143,-33.577023,2.89e-08,1,01/01/2005,,,exoplanet, ,,0,,
HD 164595,685,270.16204799999997,29.571921999999997,2.89e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 75289,1766,131.918289,-41.736794,2.89e-08,1,01/01/1999,,,exoplanet, ,,0,,
HD 102195,217,176.426224,2.821483,2.8999999999999998e-08,1,01/01/2006,,,exoplanet, ,,0,,
HD 80606,1769,140.65653999999998,50.603722,2.8999999999999998e-08,1,01/01/2001,,,exoplanet, ,,0,,
HD 219077,1732,348.527435,-62.700005000000004,2.92e-08,1,01/01/2012,,,exoplanet, ,,0,,
51 Eri,3043,69.40055100000001,-2.473548,2.94e-08,1,01/01/2015,,,exoplanet, ,,0,,
HD 130322,347,221.886368,-0.281476,2.98e-08,1,01/01/1999,,,exoplanet, ,,0,,
HD 218566,569,347.294708,-2.260742,2.99e-08,1,01/01/2010,,,exoplanet, ,,0,,
GJ 9827,3365,351.77014199999996,-1.286273,3.03e-08,3,01/01/2017,,,exoplanet, ,,0,,
kap CrB,644,237.808044,35.657383,3.0499999999999995e-08,1,01/01/2007,,,exoplanet, ,,0,,
