name,Unnamed: 0,date,dec,dist,mabs,mapp,ra,subtype,type,commentary,importance,teff_val,mass
SL-8R/B,80,1973-01-01,19.672968976091852,2.1718183276865517e-19,,,268.48311772052966,special,satellite, ,0,,
SL-8R/B,81,1975-01-01,63.040396576931045,2.3140997531681447e-19,,,239.10087406899243,special,satellite, ,0,,
SL-3R/B,82,1977-01-01,-47.15492360461149,2.231686657569647e-19,,,21.478082886612736,special,satellite, ,0,,
SEASAT1,83,1978-01-01,-15.59357515833128,2.308790490795409e-19,,,65.71133289384947,special,satellite, ,0,,
METEOR1-29,84,1979-01-01,-49.23109950946316,2.2174168098925743e-19,,,258.6796925928469,special,satellite, ,0,,
SL-14R/B,85,1979-01-01,-48.92265600176473,2.2629182612746477e-19,,,37.95177941131271,special,satellite, ,0,,
SL-8R/B,86,1979-01-01,73.11576293016101,2.312098778845838e-19,,,266.6100258544818,special,satellite, ,0,,
SL-14R/B,87,1980-01-01,-55.45397787331168,2.2669666383929287e-19,,,250.34763472500413,special,satellite, ,0,,
SL-8R/B,88,1981-01-01,82.48936270266844,2.3966408215237143e-19,,,299.3151990443745,special,satellite, ,0,,
SL-3R/B,89,1981-01-01,-79.62886182592244,2.2427623393036465e-19,,,224.35176123995842,special,satellite, ,0,,
METEORPRIRODA,90,1981-01-01,-62.14542615524528,2.232657824127945e-19,,,200.1775919147776,special,satellite, ,0,,
SL-3R/B,91,1981-01-01,46.75970086184802,2.249264550900941e-19,,,185.04499843837613,special,satellite, ,0,,
SL-3R/B,92,1982-01-01,10.974645058400895,2.2446500942374247e-19,,,300.90692378191034,special,satellite, ,0,,
SL-3R/B,93,1982-01-01,-11.73951680071222,2.258273758628155e-19,,,317.52449382701644,special,satellite, ,0,,
SL-3R/B,94,1982-01-01,-25.60276642837537,2.251672358878289e-19,,,352.18090618626417,special,satellite, ,0,,
SL-3R/B,95,1983-01-01,76.05268513318727,2.2280203982646447e-19,,,88.83686932445559,special,satellite, ,0,,
COSMOS1455,96,1983-01-01,26.193861477143034,2.2368896281024274e-19,,,226.07239545228146,special,satellite, ,0,,
SL-3R/B,97,1983-01-01,62.60021333662015,2.2437833379370213e-19,,,190.6979131920837,special,satellite, ,0,,
COSMOS1500,98,1983-01-01,-22.94000286280091,2.235954526169176e-19,,,302.43875208945263,special,satellite, ,0,,
COSMOS1536,99,1984-01-01,50.40201201000578,2.2422388878206246e-19,,,110.61673422167459,special,satellite, ,0,,
COSMOS1544,100,1984-01-01,41.18624425572311,2.2211955038802446e-19,,,349.4090023614447,special,satellite, ,0,,
SL-14R/B,101,1984-01-01,-34.484314622175944,2.2643390619192307e-19,,,154.40027924564225,special,satellite, ,0,,
ERBS,102,1984-01-01,39.302290097430074,2.205379024819859e-19,,,234.74945812595288,special,satellite, ,0,,
SL-8R/B,103,1985-01-01,49.642987523423024,2.31708909029143e-19,,,136.67737628450038,special,satellite, ,0,,
COSMOS1626,104,1985-01-01,-45.24123501093085,2.2284149460215165e-19,,,198.86249015018902,special,satellite, ,0,,
SL-12R/B(2),105,1985-01-01,59.07396410321103,2.325942389110937e-19,,,351.05811930735763,special,satellite, ,0,,
SL-14R/B,106,1985-01-01,63.69589426498185,2.262754540070354e-19,,,131.25050874798785,special,satellite, ,0,,
SL-3R/B,107,1985-01-01,-3.786185204386583,2.1926408622602063e-19,,,335.48091557802564,special,satellite, ,0,,
SL-16R/B,108,1985-01-01,5.042477355987249,2.336914668629373e-19,,,59.64987989944314,special,satellite, ,0,,
SL-14R/B,109,1986-01-01,-15.363947342060108,2.2626595773436703e-19,,,174.1088993572898,special,satellite, ,0,,
COSMOS1743,110,1986-01-01,-14.00053694176634,2.2377147079181607e-19,,,139.39010004175964,special,satellite, ,0,,
SL-14R/B,111,1986-01-01,-57.75552105208957,2.2694828156616624e-19,,,171.34549267757671,special,satellite, ,0,,
SL-14R/B,112,1986-01-01,-26.88285175813927,2.2723642990630485e-19,,,213.0431229318713,special,satellite, ,0,,
AJISAI(EGS),113,1986-01-01,21.05568340478229,2.5502144903494e-19,,,177.18991527799218,special,satellite, ,0,,
COSMOS1812,114,1987-01-01,56.38891897674863,2.23592477333624e-19,,,120.26203314605715,special,satellite, ,0,,
SL-14R/B,115,1987-01-01,-13.10170942740751,2.2688015449942264e-19,,,180.3094151909486,special,satellite, ,0,,
COSMOS1833,116,1987-01-01,-70.91389641115249,2.3472016372574088e-19,,,326.9885134382298,special,satellite, ,0,,
SL-16R/B,117,1987-01-01,-39.52576661791945,2.338882452919704e-19,,,218.3801025849972,special,satellite, ,0,,
SL-14R/B,118,1987-01-01,-8.051658797442785,2.263414501308416e-19,,,31.427499100876545,special,satellite, ,0,,
COSMOS1844,119,1987-01-01,-60.86045163576493,2.335847352553164e-19,,,106.38406404926987,special,satellite, ,0,,
SL-14R/B,120,1987-01-01,-46.05563015338829,2.2636288898933904e-19,,,274.50207274777415,special,satellite, ,0,,
COSMOS1867,121,1987-01-01,-44.022744209407946,2.318564323412005e-19,,,154.82577021504056,special,satellite, ,0,,
SL-14R/B,122,1988-01-01,-46.717387358751296,2.2720581952826354e-19,,,115.77129220695507,special,satellite, ,0,,
COSMOS1933,123,1988-01-01,82.37506685301355,2.2472492870134124e-19,,,176.98385608220494,special,satellite, ,0,,
SL-3R/B,124,1988-01-01,-40.42121890590249,2.247812866638205e-19,,,251.3530872359434,special,satellite, ,0,,
SL-16R/B,125,1988-01-01,-21.789575162658124,2.3349998958018586e-19,,,22.630542211339968,special,satellite, ,0,,
COSMOS1953,126,1988-01-01,-65.56106113940966,2.244991824399382e-19,,,199.64027606802188,special,satellite, ,0,,
SL-8R/B,127,1988-01-01,-34.53237694988358,2.318589778535205e-19,,,28.350532136224718,special,satellite, ,0,,
COSMOS1975,128,1988-01-01,80.56735281722906,2.2451213941397714e-19,,,7.956546603426057,special,satellite, ,0,,
SL-14R/B,129,1988-01-01,23.388236783074692,2.266013093250673e-19,,,305.3194187590223,special,satellite, ,0,,
SL-16R/B,130,1988-01-01,64.11863385240127,2.342258948896664e-19,,,293.8523240271969,special,satellite, ,0,,
INTERCOSMOS24,131,1989-01-01,34.524121321282806,2.7750258686038266e-19,,,114.38246678160469,special,satellite, ,0,,
SL-14R/B,132,1989-01-01,-81.00513051691526,2.8164000630483585e-19,,,33.365144813264834,special,satellite, ,0,,
DELTA1R/B,133,1989-01-01,75.94228512868443,2.3201651343993647e-19,,,63.735602358356545,special,satellite, ,0,,
DELTA2R/B(1),134,1990-01-01,-33.44779680100867,2.209553786429897e-19,,,269.52516192958103,special,satellite, ,0,,
COSMOS2058,135,1990-01-01,-25.320716333791555,2.2506953928108945e-19,,,217.38534430865482,special,satellite, ,0,,
SL-14R/B,136,1990-01-01,-71.11182838662988,2.2745093711344016e-19,,,333.1663454493434,special,satellite, ,0,,
SL-14R/B,137,1990-01-01,-26.133402484318925,2.267576799769385e-19,,,122.90597177066894,special,satellite, ,0,,
HST,138,1990-01-01,-4.4197585231258705,2.2411101205762145e-19,,,55.13048742799435,special,satellite,"The world’s first space telescope, launched April 24, 1990 and named after American astronomer Edwin Hubble, who confirmed the expanding universe theory.",0,,
SL-16R/B,139,1990-01-01,-36.80042746274292,2.340967348912486e-19,,,8.967442839486319,special,satellite, ,0,,
COSMOS2084,140,1990-01-01,-61.01297217543247,2.275849452894589e-19,,,212.29637654687969,special,satellite, ,0,,
SL-6R/B(2),141,1990-01-01,-56.17212201677683,2.2742337106661236e-19,,,192.69900737489658,special,satellite, ,0,,
SL-8R/B,142,1990-01-01,81.60983742447976,2.3255144271968763e-19,,,135.11748403989213,special,satellite, ,0,,
SL-8R/B,143,1991-01-01,10.276729765258317,2.3833541948386676e-19,,,82.10517077395488,special,satellite, ,0,,
OKEAN-3,144,1991-01-01,13.779243038538516,2.255000742880537e-19,,,117.80395431259716,special,satellite, ,0,,
COSMOS2151,145,1991-01-01,-82.31882496624104,2.260918030814353e-19,,,121.06854783742016,special,satellite, ,0,,
