,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
16036,SN2016aai,MCG -02-33-20,192.6167917,-10.84139444,04/02/2016,7.47E+12,-16.342,16.4,supernova,II P,0.007972
16668,SN2016G,NGC 1171,45.99058333,43.40097222,09/01/2016,8.57E+12,-17.701,15.34,supernova,Ic BL,0.009146
17389,PS16bkl,NGC 6004,237.6055833,18.93541667,07/12/2015,8.65E+12,-12.97,20.09,supernova,II,0.00924
17413,SN2015be,NGC 1843,3.525833333,-10.625,06/12/2015,8.13E+12,-14.93,18,supernova,II P,0.00868
17907,GRB 151031A,,8.189166667,-39.125,31/10/2015,8.09E+14,,,supernova,LGRB,1.167
17932,GRB 151029A,,8.537083333,-35.356,29/10/2015,9.25E+14,,,supernova,LGRB,1.423
18288,ASASSN-15qh,ESO 534-G024,341.3050833,-22.72772778,04/10/2015,9.56E+12,-16.6102,16.67,supernova,II,0.010207
18528,GRB 150910A,,5.677083333,33.466,10/09/2015,8.97E+14,,,supernova,LGRB,1.359
18670,ASASSN-15oz,HIPASS J1919-33,289.8895417,-33.76722222,31/08/2015,6.49E+12,-17.937,14.5,supernova,II,0.006929
19442,Howerton-A38,IC 1055,11.83666667,-13.725,21/06/2015,8.25E+12,,,supernova,,0.00881
20005,SN2015I,NGC 2357,109.4404167,23.34461111,02/05/2015,7.11E+12,-18.925,13.71,supernova,Ia,0.007589
20211,AT2015ck,SDSS J111933.80+254348.5,169.8915833,25.7296,12/04/2015,8.41E+13,-18.084,20,supernova,Candidate,0.09149
20345,ASASSN-15ga,NGC 4866,194.8637167,14.17105278,30/03/2015,6.21E+12,-17.302,15.04,supernova,Ia,0.006631
20501,SN2015G,NGC 6951,9.356666667,66.11986111,23/03/2015,4.45E+12,-16.12,15.5,supernova,Ibn,0.00475
20656,SN2015bp,NGC 5839,226.3752917,1.634,16/03/2015,3.82E+12,-17.64,13.64,supernova,Ia,0.004069
20739,SN2015F,NGC 2442,9.065833333,-69.50638889,09/03/2015,5.07E+12,-18.8,13.1,supernova,Ia,0.00541
20767,GRB 150301B,,14.15916667,-57.969,01/03/2015,9.63E+14,,,supernova,LGRB,1.5169
21360,PSN J13522411+3941286,NGC 5337,13.10041667,39.69127778,09/01/2015,6.77E+12,-16.927,15.6,supernova,IIn,0.007222
21374,ASASSN-15bd,SDSS J155438.39+163637.6,238.6597083,16.61058333,08/01/2015,7.44E+12,-16.535,16.2,supernova,IIb,0.007946
21538,GRB 141221A,,3.282916667,8.197,21/12/2014,9.37E+14,,,supernova,LGRB,1.452
21605,GRB 141220A,,0.057916667,32.146,20/12/2014,8.80E+14,,,supernova,LGRB,1.3195
21902,GRB 141121A,,2.665,22.206,21/11/2014,9.44E+14,,,supernova,LGRB,1.47
21978,SN2014dw,NGC 3568,2.701666667,-37.45061111,06/11/2014,7.64E+12,-17.291,15.5,supernova,II,0.008152
21993,SN Refsdal,,177.4000417,22.39670278,03/11/2014,9.53E+14,-18.839,25.4,supernova,,1.491
22020,MASTER OT J120451.50+265946.6,NGC 4080,181.2145833,26.99627778,28/10/2014,1.77E+12,-15.44,14.17,supernova,Ib,0.00189
22330,SN2014cx,NGC 337,14.94929167,-7.571833333,02/09/2014,5.15E+12,-18.83,13.1,supernova,II P,0.00549
22343,SN2014cy,NGC 7742,11.06666667,10.77013889,31/08/2014,5.20E+12,-16.153,15.8,supernova,II P,0.005547
22481,ASASSN-14eb,NGC 6909,6.854583333,-47.01625,19/07/2014,7.22E+12,-16.469,16.2,supernova,,0.007708
22499,ASASSN-14dp,ESO 319-G15,170.4935417,-37.90680556,07/07/2014,8.58E+12,-16.844,16.2,supernova,II,0.009159
22528,SN2014ck,UGC 12182,11.41208333,73.16186111,29/06/2014,4.66E+12,-15.51,16.2,supernova,Ia Pec,0.00497
22568,SN2014bv,NGC 4386,6.129166667,75.53572222,18/06/2014,5.24E+12,-18.172,13.8,supernova,Ia,0.005594
22576,SN2014cl,IC 217,4.037916667,-11.93405556,16/06/2014,5.91E+12,-14.732,17.5,supernova,IIb,0.006304
22638,ASASSN-14az,PGC 1101367,356.2,-2.117547222,20/05/2014,6.31E+12,-16.734,15.64,supernova,IIb,0.006731
22652,GRB 140515A,,6.070833333,15.099,15/05/2014,1.84E+15,,,supernova,LGRB,6.32
22658,GRB 140512A,,4.365833333,-15.087,12/05/2014,5.65E+14,,,supernova,LGRB,0.725
22670,PSN J10275082-4354034,NGC 3256,6.961666667,-43.90094444,07/05/2014,7.93E+12,-17.27,15.6,supernova,,0.00847
22699,GRB 140430A,,12.94208333,23.033,30/04/2014,9.96E+14,,,supernova,LGRB,1.6
22728,GRB 140423A,,2.275833333,49.838,23/04/2014,1.45E+15,,,supernova,LGRB,3.26
22912,PSN J11442333+5502337,NGC 3846A,11.09708333,55.04269444,19/03/2014,5.36E+12,-15.52,16.5,supernova,,0.00572
23305,SN2014J,NGC 3034,148.9255,69.67386111,21/01/2014,6.35E+11,-18.4,8.98,supernova,Ia,0.000677
