,objid,host name,ra,dec,date,dist,mabs,mapp,type,subtype,z
41891,SN1963I,NGC 4178,3.19,10.85855556,14/05/1963,1.22E+12,-16.6,13.93,supernova,Ia,0.0013
41908,SN1962J,NGC 6835,298.625,-12.57444444,28/08/1962,6.83E+12,-18.3,13.39,supernova,Ia,0.00729
41934,SN1961H,NGC 4564,189.113625,11.44016667,02/05/1961,3.57E+12,-19.92,10.9,supernova,Ia,0.003809
41941,SN1960R,NGC 4382,186.3534583,18.15536111,20/12/1960,2.28E+12,-18.83,12,supernova,Ia,0.002432
42007,SN1954J,NGC 2403,114.2341667,65.63119444,26/11/1954,4.04E+11,,,supernova,II Pec?,0.00043
42025,SN1954B,NGC 5668,218.350375,4.444888889,27/04/1954,5.71E+12,-19.8,12.3,supernova,Ia,0.00609
42026,SN1954A,NGC 4214,183.9375,36.27055556,10/04/1954,9.10E+11,-18,9.1,supernova,Ib,0.00097
42055,SN1951H,NGC 5457,210.9804167,54.36138889,01/09/1951,3.54E+12,-12,17.19,supernova,II,0.00378
42102,SN1937D,NGC 1003,39.8375,40.87222222,09/09/1937,4.86E+12,-19,10.5,supernova,Ia,0.00518
42104,SN1937C,IC 4182,196.4716667,37.60194444,16/08/1937,1.00E+12,-19,8.4,supernova,Ia,0.001071
42107,SN1936A,NGC 4273,184.9829167,5.352222222,02/01/1936,7.34E+12,-17.8,14.4,supernova,II,0.00783
42113,SN1926A,NGC 4303,185.475,4.493611111,09/05/1926,7.53E+12,-16.4,14.3,supernova,II,0.00804
42115,SN1921C,NGC 3184,154.5958333,41.35055556,05/12/1921,2.99E+12,-19.4,10.8,supernova,I,0.00319
42118,SN1920A,NGC 2608,128.8154167,28.47527778,01/01/1920,6.81E+12,-21.2,10.4,supernova,II,0.00727
42861,GND13Ful,,9.08,62.25349444,2013,6.01E+14,,,supernova,,0.783
42865,CLY13Hos,,2.694583333,-3.089716667,2013,6.55E+14,,,supernova,,0.876
42866,GND13Wol,,9.245416667,62.30281944,2013,6.93E+14,,,supernova,,0.943
42870,EGS13Tan,,5.00875,53.00454444,2013,7.94E+14,,,supernova,,1.137
42872,GND13Cam,,9.280833333,62.17413889,2013,8.35E+14,,,supernova,,1.222
42874,GND13Fin,,9.325833333,62.28601389,2013,9.51E+14,,,supernova,,1.488
43095,COS12Mon,,0.11125,2.253816667,2012,5.97E+14,,,supernova,,0.777
43102,GNW12Gor,,9.08625,62.14585556,2012,7.32E+14,,,supernova,,1.016
43103,CLS12Mac,,3.94875,-24.00660278,2012,7.42E+14,,,supernova,,1.034
43104,COS12Her,,0.1975,2.254927778,2012,7.67E+14,,,supernova,,1.082
43105,GSD12Agn,,8.107916667,-27.83878333,2012,7.73E+14,,,supernova,,1.095
43108,GND12Whe,,9.100833333,62.29436111,2012,8.87E+14,,,supernova,,1.335
43110,COS12Car,,0.06125,2.192380556,2012,9.72E+14,,,supernova,,1.54
43459,GSD11Mad,,8.078333333,-27.87834722,2011,7.18E+14,,,supernova,,0.988
43460,CLF11Ves,,7.4275,-7.696688889,2011,8.34E+14,,,supernova,,1.22
43464,EGS11Nix,,5.2025,53.00735278,2011,9.36E+14,,,supernova,,1.451
44585,Ayako,,8.102083333,33.56409722,2006,6.04E+14,,,supernova,CC,0.789
44587,Ingvar,,11.39125,-36.54541111,2006,6.65E+14,,,supernova,CC,0.892
44589,Ashley,,3.78375,36.21192778,2006,7.38E+14,,,supernova,Ia,1.026
44642,HST04Cli,,8.02125,-27.69516944,2004,5.80E+14,,,supernova,,0.75
44656,SNLS-03D1as,,6.102083333,-4.361163889,2003,6.53E+14,,,supernova,,0.872
47583,SDSS-II SN 983,SDSS J25823.36+010953.4,14.59708333,1.16458,,6.33E+13,-17.497,19.95,supernova,II,0.06855
47671,SDSS-II SN 13286,SDSS J21938.26-005219.3,334.91,-0.872814,,7.84E+13,-17.218,20.71,supernova,II,0.08523
47682,SDSS-II SN 6465,SDSS J30757.79-001412.8,46.9911,-0.23736,,7.99E+13,-17.44,20.53,supernova,II,0.086876
47707,SDSS-II SN 3063,SDSS J03238.20-010035.2,8.15914,-1.00985,,8.43E+13,-18.5602,19.53,supernova,II,0.091725
47718,SDSS-II SN 13002,SDSS J13322.79-004226.2,8.345,-0.707305,,8.74E+13,-17.4233,20.75,supernova,II,0.095234
47732,SDSS-II SN 1545,SDSS J005742.51-004048.0,14.42625,-0.678416667,,9.03E+13,,,supernova,,0.098491
48997,SDSS-II SN 21164,SDSS J14210.62+001129.4,10.54416667,0.191551944,,4.84E+14,-21.3666,20.93,supernova,II,0.601231
49053,SDSS-II SN 20215,SDSS J14714.22-004642.6,11.80916667,-0.778514,,5.39E+14,-21.2016,21.38,supernova,II,0.683836
49070,CLA11Tib,,12.00541667,-3.554694444,,7.97E+14,,,supernova,,1.143
49071,CLO12Car,,5.0875,35.61136111,,8.62E+14,,,supernova,,1.28
49072,HFF14Tom,Abell 2744:[BML2002] 0428,3.574583333,-30.39991667,,8.91E+14,,,supernova,Ia,1.3457
