,Unnamed: 0,commentary,date,dec,dist,importance,mabs,mapp,ra,radial_velocity,radius_val,solution_id,source_id,subtype,teff_val,type
83,83.0,,01/04/2018,-12.038951793390341,128115272.30654933,0.0,,,134.01118306814445,,,1.6357214584097997e+18,5.736685562686325e+18,,,star
18,18.0,,01/04/2018,-11.725179856805925,90267795.53485829,0.0,,,132.77626692236268,,,1.6357214584097997e+18,5.736868081617336e+18,,,star
28,28.0,,01/04/2018,-11.392426031935534,1108834291.3769114,0.0,,,134.8043604250492,,,1.6357214584097997e+18,5.737109016397798e+18,,5066.43,star
29,29.0,,01/04/2018,-10.87682624357319,484373928.85565984,0.0,,,134.59975721835158,,,1.6357214584097997e+18,5.737347747859972e+18,,,star
90,90.0,,01/04/2018,-9.779413285308982,75032817.00412245,0.0,,,134.78539527075034,,,1.6357214584097997e+18,5.737576923019739e+18,,,star
8,8.0,,01/04/2018,-12.925201735518124,104928460.64452828,0.0,5.1078922045489294,-3.424448637494633,140.62474358438516,,1.0073243,1.6357214584097997e+18,5.73803453031015e+18,,5320.5,star
48,48.0,,01/04/2018,-12.421067099997432,245174073.44914973,0.0,,,142.18759407332925,,,1.6357214584097997e+18,5.738264461383967e+18,,,star
80,80.0,,01/04/2018,-11.46565813036718,158385835.2636762,0.0,,,142.65950909278834,,,1.6357214584097997e+18,5.738617301538257e+18,,,star
32,32.0,,01/04/2018,85.95682816051813,136824088.89757037,0.0,7.332126781623549,-1.7765603769429124,19.673736265736032,,0.6147347,1.6357214584097997e+18,5.739125353234661e+17,,4081.03,star
30,30.0,,01/04/2018,-11.889988647834315,625439198.761165,0.0,,,140.2256032656302,,,1.6357214584097997e+18,5.738919156133333e+18,,5144.95,star
45,45.0,,01/04/2018,-11.104316489964953,87456831.11305413,0.0,,,139.4525176228121,,,1.6357214584097997e+18,5.739251891545616e+18,,,star
57,57.0,,01/04/2018,-11.152228615241373,666441468.438339,0.0,,,140.6954922894642,,,1.6357214584097997e+18,5.73939383162454e+18,,6021.8574,star
98,98.0,,01/04/2018,-10.937944658418148,540147377.4698505,0.0,,,144.0672862755464,,,1.6357214584097997e+18,5.740010932525454e+18,,5368.205,star
46,46.0,,01/04/2018,-10.818130907500699,313733944.7962766,0.0,,,143.87575161362594,,,1.6357214584097997e+18,5.740062540852054e+18,,5478.0,star
52,52.0,,01/04/2018,-10.06565468796164,180507792.9104704,0.0,,,145.11411472411638,,,1.6357214584097997e+18,5.740467092412321e+18,,,star
80,80.0,,01/04/2018,86.78958663876092,103908282.98644876,0.0,,,5.7551902327543125,,,1.6357214584097997e+18,5.7419053567550605e+17,,,star
62,62.0,,01/04/2018,-10.372460433112098,435826486.01109785,0.0,,,142.1468316299132,,,1.6357214584097997e+18,5.740992830768781e+18,,,star
